ID,label,type,year
http://www.wikidata.org/entity/Q4795252,Arnold Shapiro,DIRECTOR,1941
http://www.wikidata.org/entity/Q104791,Ed Harris,DIRECTOR,1950
http://www.wikidata.org/entity/Q51575,John Huston,DIRECTOR,1906
http://www.wikidata.org/entity/Q466415,Compton Bennett,DIRECTOR,1900
http://www.wikidata.org/entity/Q506183,Andrew Marton,DIRECTOR,1904
http://www.wikidata.org/entity/Q3425142,Morten Tyldum,DIRECTOR,1967
http://www.wikidata.org/entity/Q146051,Zana Briski,DIRECTOR,1966
http://www.wikidata.org/entity/Q15885146,Morgan Neville,DIRECTOR,1967
http://www.wikidata.org/entity/Q1377022,Paweł Pawlikowski,DIRECTOR,1957
http://www.wikidata.org/entity/Q7374,Alfred Hitchcock,DIRECTOR,1899
http://www.wikidata.org/entity/Q260969,Jules Dassin,DIRECTOR,1911
http://www.wikidata.org/entity/Q270038,Delbert Mann,DIRECTOR,1920
http://www.wikidata.org/entity/Q34816,Kathryn Bigelow,DIRECTOR,1951
http://www.wikidata.org/entity/Q160726,Ang Lee,DIRECTOR,1954
http://www.wikidata.org/entity/Q262820,John Frankenheimer,DIRECTOR,1930
http://www.wikidata.org/entity/Q57932,Florian Henckel von Donnersmarck,DIRECTOR,1973
http://www.wikidata.org/entity/Q433893,James Mangold,DIRECTOR,1963
http://www.wikidata.org/entity/Q59215,Robert Redford,DIRECTOR,1936
http://www.wikidata.org/entity/Q435866,Marleen Gorris,DIRECTOR,1948
http://www.wikidata.org/entity/Q504461,Andrew Davis,DIRECTOR,1946
http://www.wikidata.org/entity/Q18350026,Damien Chazelle,DIRECTOR,1985
http://www.wikidata.org/entity/Q313506,Stephen Daldry,DIRECTOR,1961
http://www.wikidata.org/entity/Q953683,Ulu Grosbard,DIRECTOR,1929
http://www.wikidata.org/entity/Q295912,Tom Hooper,DIRECTOR,1972
http://www.wikidata.org/entity/Q295463,Gore Verbinski,DIRECTOR,1964
http://www.wikidata.org/entity/Q707999,Victor Schertzinger,DIRECTOR,1888
http://www.wikidata.org/entity/Q1806583,Robert D. Webb,DIRECTOR,1903
http://www.wikidata.org/entity/Q51492,Frank Capra,DIRECTOR,1897
http://www.wikidata.org/entity/Q55234,Michael Powell,DIRECTOR,1905
http://www.wikidata.org/entity/Q1292174,Edward F. Cline,DIRECTOR,1891
http://www.wikidata.org/entity/Q1348110,Tay Garnett,DIRECTOR,1894
http://www.wikidata.org/entity/Q1348309,John Cromwell,DIRECTOR,1886
http://www.wikidata.org/entity/Q72291,David O. Selznick,DIRECTOR,1902
http://www.wikidata.org/entity/Q290962,William A. Wellman,DIRECTOR,1896
http://www.wikidata.org/entity/Q51114,John Ford,DIRECTOR,1894
http://www.wikidata.org/entity/Q40531,John Wayne,DIRECTOR,1907
http://www.wikidata.org/entity/Q436704,Jack Cardiff,DIRECTOR,1914
http://www.wikidata.org/entity/Q1168402,Fred Coe,DIRECTOR,1914
http://www.wikidata.org/entity/Q41131,Melvin Frank,DIRECTOR,1913
http://www.wikidata.org/entity/Q1384550,George Marshall,DIRECTOR,1891
http://www.wikidata.org/entity/Q457250,Henry Hathaway,DIRECTOR,1898
http://www.wikidata.org/entity/Q118817,Joe Wright,DIRECTOR,1972
http://www.wikidata.org/entity/Q42229,Mel Gibson,DIRECTOR,1956
http://www.wikidata.org/entity/Q455043,Arthur Hiller,DIRECTOR,1923
http://www.wikidata.org/entity/Q154490,Jean-Jacques Annaud,DIRECTOR,1943
http://www.wikidata.org/entity/Q455482,Wash Westmoreland,DIRECTOR,1966
http://www.wikidata.org/entity/Q6047738,Richard Glatzer,DIRECTOR,1952
http://www.wikidata.org/entity/Q1117163,Ernest B. Schoedsack,DIRECTOR,1893
http://www.wikidata.org/entity/Q55163,Robert Altman,DIRECTOR,1925
http://www.wikidata.org/entity/Q174908,Michael Moore,DIRECTOR,1954
