ID,label,type,year,duration,comedy film,mystery film,thriller film,film based on literature,adventure film,horror film,science fiction film,drama film,Western film,crime film,musical film,romance film,action film,disaster film,coming-of-age story,historical film,war film,biographical film,LGBT-related film,flashback film,fantasy film,sports film,documentary film,children's film,trial film
http://www.wikidata.org/entity/Q1168531,The Lavender Hill Mob,MOVIE,1951,78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q727753,Charles Crichton,DIRECTOR,1910,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q116905,Lemony Snicket's A Series of Unfortunate Events,MOVIE,2004,108,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
http://www.wikidata.org/entity/Q725449,Brad Silberling,DIRECTOR,1963,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1169951,El barco de los locos,MOVIE,1965,146,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q1170115,The Private Life of Henry VIII,MOVIE,1933,97,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q55221,Alexander Korda,DIRECTOR,1893,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1171692,California Suite,MOVIE,1978,102,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
http://www.wikidata.org/entity/Q711415,Herbert Ross,DIRECTOR,1927,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q117315,The Piano,MOVIE,1993,121,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q230448,Jane Campion,DIRECTOR,1954,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1185386,Johnny Eager,MOVIE,1941,107,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q103788,Mervyn LeRoy,DIRECTOR,1900,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q118829,The Cowboy and the Lady,MOVIE,1938,91,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q937589,H. C. Potter,DIRECTOR,1904,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q974982,Stuart Heisler,DIRECTOR,1894,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1191093,Harry and Tonto,MOVIE,1974,115,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q270560,Paul Mazursky,DIRECTOR,1930,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1192213,The Assault,MOVIE,1986,144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q470831,Fons Rademakers,DIRECTOR,1920,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1193825,Affliction,MOVIE,1997,110,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q363989,Paul Schrader,DIRECTOR,1946,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1194608,King of Jazz,MOVIE,1930,98,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q3371203,Paul Fejos,DIRECTOR,1897,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q6249965,John Murray Anderson,DIRECTOR,1886,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1194613,The Jolson Story,MOVIE,1946,104,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q120541,Alfred Edward Green,DIRECTOR,1889,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1194888,Twelve O'Clock High,MOVIE,1949,127,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q269505,Henry King,DIRECTOR,1886,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1195311,The Lion in Winter,MOVIE,1968,129,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
http://www.wikidata.org/entity/Q543124,Anthony Harvey,DIRECTOR,1930,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1196539,Pygmalion,MOVIE,1938,90,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q156178,Leslie Howard,DIRECTOR,1893,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q360844,Anthony Asquith,DIRECTOR,1902,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1197185,The Right Stuff,MOVIE,1983,184,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q176126,Philip Kaufman,DIRECTOR,1936,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1197377,The Devil and Daniel Webster,MOVIE,1941,105,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
http://www.wikidata.org/entity/Q55413,William Dieterle,DIRECTOR,1893,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1197729,Titanic,MOVIE,1953,100,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q286104,Jean Negulesco,DIRECTOR,1900,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1197944,The Dark Angel,MOVIE,1935,105,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q773066,Sidney Franklin,DIRECTOR,1893,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1198073,Hud,MOVIE,1963,112,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q287451,Martin Ritt,DIRECTOR,1914,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1198132,Wonder Man,MOVIE,1945,96,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
http://www.wikidata.org/entity/Q2420942,H. Bruce Humberstone,DIRECTOR,1901,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1198269,The Old Man and the Sea,MOVIE,1958,86,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q361670,John Sturges,DIRECTOR,1910,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1198780,The Great Caruso,MOVIE,1951,109,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q216748,Richard Thorpe,DIRECTOR,1896,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1198799,The Great Gatsby,MOVIE,1974,138,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q17887,Jack Clayton,DIRECTOR,1921,,,,,,,,,,,,,,,,,,,,,,,,,,
