Source,Target,weight
http://www.wikidata.org/entity/Q103788,http://www.wikidata.org/entity/Q145132,1
http://www.wikidata.org/entity/Q937589,http://www.wikidata.org/entity/Q974982,1
http://www.wikidata.org/entity/Q937589,http://www.wikidata.org/entity/Q51495,1
http://www.wikidata.org/entity/Q937589,http://www.wikidata.org/entity/Q3973321,1
http://www.wikidata.org/entity/Q974982,http://www.wikidata.org/entity/Q51495,1
http://www.wikidata.org/entity/Q974982,http://www.wikidata.org/entity/Q3973321,1
http://www.wikidata.org/entity/Q51495,http://www.wikidata.org/entity/Q3973321,1
http://www.wikidata.org/entity/Q270560,http://www.wikidata.org/entity/Q2658233,1
http://www.wikidata.org/entity/Q470831,http://www.wikidata.org/entity/Q2193862,1
http://www.wikidata.org/entity/Q3371203,http://www.wikidata.org/entity/Q6249965,1
http://www.wikidata.org/entity/Q3371203,http://www.wikidata.org/entity/Q4267490,1
http://www.wikidata.org/entity/Q3371203,http://www.wikidata.org/entity/Q470182,1
http://www.wikidata.org/entity/Q6249965,http://www.wikidata.org/entity/Q4267490,1
http://www.wikidata.org/entity/Q6249965,http://www.wikidata.org/entity/Q470182,1
http://www.wikidata.org/entity/Q120541,http://www.wikidata.org/entity/Q128532,1
http://www.wikidata.org/entity/Q120541,http://www.wikidata.org/entity/Q3568307,1
http://www.wikidata.org/entity/Q269505,http://www.wikidata.org/entity/Q1385381,1
http://www.wikidata.org/entity/Q543124,http://www.wikidata.org/entity/Q103876,1
http://www.wikidata.org/entity/Q543124,http://www.wikidata.org/entity/Q3347469,1
http://www.wikidata.org/entity/Q543124,http://www.wikidata.org/entity/Q517562,1
http://www.wikidata.org/entity/Q543124,http://www.wikidata.org/entity/Q65932,1
http://www.wikidata.org/entity/Q543124,http://www.wikidata.org/entity/Q41233,1
http://www.wikidata.org/entity/Q156178,http://www.wikidata.org/entity/Q360844,1
http://www.wikidata.org/entity/Q176126,http://www.wikidata.org/entity/Q114179,1
http://www.wikidata.org/entity/Q176126,http://www.wikidata.org/entity/Q229042,1
http://www.wikidata.org/entity/Q176126,http://www.wikidata.org/entity/Q294583,1
http://www.wikidata.org/entity/Q176126,http://www.wikidata.org/entity/Q718135,1
http://www.wikidata.org/entity/Q176126,http://www.wikidata.org/entity/Q7327,1
http://www.wikidata.org/entity/Q176126,http://www.wikidata.org/entity/Q9640,1
http://www.wikidata.org/entity/Q176126,http://www.wikidata.org/entity/Q9696,1
http://www.wikidata.org/entity/Q55413,http://www.wikidata.org/entity/Q1562547,1
http://www.wikidata.org/entity/Q55413,http://www.wikidata.org/entity/Q1680220,1
http://www.wikidata.org/entity/Q55413,http://www.wikidata.org/entity/Q253239,1
http://www.wikidata.org/entity/Q286104,http://www.wikidata.org/entity/Q153332,1
http://www.wikidata.org/entity/Q286104,http://www.wikidata.org/entity/Q310493,1
http://www.wikidata.org/entity/Q286104,http://www.wikidata.org/entity/Q94002,1
http://www.wikidata.org/entity/Q287451,http://www.wikidata.org/entity/Q41871,1
http://www.wikidata.org/entity/Q2420942,http://www.wikidata.org/entity/Q2094606,1
http://www.wikidata.org/entity/Q2420942,http://www.wikidata.org/entity/Q213425,1
http://www.wikidata.org/entity/Q2420942,http://www.wikidata.org/entity/Q2424447,1
http://www.wikidata.org/entity/Q361670,http://www.wikidata.org/entity/Q516554,1
http://www.wikidata.org/entity/Q17887,http://www.wikidata.org/entity/Q1631771,1
http://www.wikidata.org/entity/Q17887,http://www.wikidata.org/entity/Q202725,1
